algo,rtt_setting,bw_setting,run,ss_rtt_ms,ss_rtt_var_ms,ss_cwnd_bytes,ss_pacing_mbps,ip_tp_mbps,ip_mean_rtt_ms
cubic,10,10,3,17.778,0.388,23360,12.6,21.320733339935458,18.741
vegas,200,500,5,203.62,2.737,1708200,80.5,13.980632128097307,202.625
reno,50,10,4,54.219,1.308,65700,11.6,20.272062540611685,56.306
bbr,200,100,2,201.131,0.305,151840,3.17,13.980428951403166,201.627
vegas,10,100,1,11.293,0.182,436540,371.0,41.593284517159,18.949
reno,100,10,4,101.081,0.672,129940,20.6,16.427293126173012,101.46
bbr,50,50,5,50.435,0.047,154760,12.6,21.32070775546054,51.906
reno,50,10,1,52.43,0.735,65700,12.0,20.6214798170539,55.048
vegas,100,10,1,101.554,1.486,1511100,143.0,16.427265748059316,102.104
vegas,200,10,4,200.917,0.267,2200220,105.0,13.9805976435634,201.804
cubic,200,500,2,231.448,67.696,14600,1.01,13.980635856165215,202.943
bbr,100,10,4,100.69,0.139,154760,6.33,16.423352164469886,105.037
vegas,200,50,5,200.88,0.13,521220,24.9,14.329447240435186,201.611
vegas,50,50,5,51.723,0.937,784020,146.0,21.320288463092893,51.532
bbr,10,500,4,11.294,0.36,178120,64.8,47.18530659101432,10.818
vegas,200,10,2,200.962,0.487,3111260,149.0,13.980592051492849,201.942
reno,10,100,3,10.972,0.566,162060,236.0,44.03906019615295,15.546
reno,50,100,2,51.092,0.165,128480,40.2,21.670261504269202,52.628
cubic,100,500,1,102.762,0.408,91980,8.59,16.42690546058565,105.575
reno,50,500,2,50.457,0.027,129940,41.2,21.320589072727177,52.847
reno,10,100,4,12.673,0.215,65700,49.8,48.227223334721124,14.949
bbr,10,500,5,10.41,0.095,198560,59.2,45.78722343276204,10.974
vegas,10,50,3,21.125,0.888,150380,68.3,48.58323104610831,16.828
vegas,100,50,1,100.838,0.303,1168000,111.0,16.777024182690177,101.308
reno,100,50,4,101.646,0.43,128480,20.2,16.77695987174596,101.385
reno,50,100,5,51.483,0.121,140160,43.6,21.67023983433853,51.492
bbr,50,500,3,50.28,0.039,169360,12.6,21.320879741167346,51.885
vegas,10,500,4,12.904,0.316,487640,363.0,47.18561801204473,13.028
bbr,100,50,1,103.398,3.176,157680,6.34,16.42739606869717,101.095
cubic,100,50,2,101.063,0.296,128480,20.3,16.77658072680981,101.965
bbr,10,100,1,10.327,0.078,178120,64.3,47.185509486067474,11.216
cubic,200,100,3,216.012,43.716,14600,1.08,13.975742614935154,209.438
vegas,200,10,3,200.962,0.487,3111260,149.0,13.98070715584662,202.075
cubic,200,100,1,218.86,43.246,14600,1.07,13.98022251874619,213.884
reno,10,50,5,10.798,0.2,128480,190.0,46.13680112364011,13.54
cubic,100,500,4,101.023,0.021,91980,8.74,16.426778980433255,102.472
bbr,100,10,5,100.69,0.139,154760,6.33,16.4271573316253,103.817
reno,100,500,2,100.754,0.053,128480,20.4,16.776817270976192,103.507
vegas,200,50,4,200.88,0.13,521220,24.9,14.330335175907168,201.727
cubic,50,500,5,53.568,0.246,128480,23.0,21.32048034060431,52.24
reno,10,500,2,15.998,0.886,128480,128.0,46.486189085433054,11.767
cubic,200,500,1,202.334,0.117,128480,10.2,13.98055943117047,202.853
cubic,50,10,5,52.003,0.418,90520,16.7,20.97104325828326,54.116
vegas,100,50,3,101.02,0.453,1170920,111.0,16.777071157952335,101.501
vegas,100,10,4,101.126,0.255,1043900,99.1,16.427194565390792,102.137
cubic,10,100,4,11.034,0.593,128480,112.0,45.4375996526453,11.332
cubic,100,10,1,114.832,31.192,14600,2.03,16.427334193514668,103.338
cubic,100,500,3,101.023,0.021,91980,8.74,16.427227418853455,113.647
cubic,100,10,3,116.464,37.652,14600,2.01,16.4273730707873,103.243
cubic,50,50,3,57.585,0.418,129940,21.7,21.670208051851933,50.975
vegas,100,100,2,102.222,0.17,919800,86.4,16.776818948618214,101.641
bbr,10,10,1,21.809,2.183,49640,11.8,20.621187690855034,24.708
vegas,50,500,1,50.622,0.036,708100,134.0,21.32035455384579,51.803
cubic,50,500,4,50.577,0.071,129940,24.7,21.320257194492378,51.359
cubic,100,100,4,101.428,0.368,128480,12.2,16.7769962213495,101.776
reno,50,10,5,52.61,0.599,65700,12.0,20.621604230959893,56.317
reno,200,100,5,200.335,0.05,128480,10.3,13.980538927045744,202.6
vegas,100,50,5,101.02,0.453,1170920,111.0,16.77688605457426,102.215
bbr,50,10,1,53.31,0.617,143080,12.2,20.96805887241546,54.76
bbr,100,100,2,100.663,0.096,157680,6.32,16.42729422129946,101.178
vegas,50,10,3,52.806,0.84,237980,43.3,20.62151006118023,53.963
cubic,200,50,2,213.83,46.803,14600,1.09,13.980463435104886,202.347
reno,10,10,1,21.867,0.628,29200,12.8,20.971080306349574,18.069
bbr,50,100,5,51.731,1.117,157680,12.6,21.320414959731025,50.724
vegas,10,10,2,17.311,1.728,17520,9.72,20.971356423419902,14.164
vegas,200,500,2,201.633,0.196,794240,37.8,13.980662418706624,206.565
vegas,10,10,5,13.639,0.564,17520,12.3,20.970510619422186,14.041
reno,10,50,1,10.488,0.122,128480,196.0,46.136721154264414,11.725
cubic,100,10,5,101.729,0.448,129940,12.3,16.42663552911118,101.52
reno,50,10,3,52.291,0.683,129940,39.8,20.97094469708381,53.158
bbr,50,500,1,50.852,0.576,166440,12.6,21.320561356590538,50.777
cubic,200,100,2,201.154,0.38,68620,3.27,13.980708553886858,202.921
vegas,200,50,3,200.88,0.13,521220,24.9,13.980449921201508,201.624
reno,50,500,3,53.011,0.624,181040,54.6,21.670215275136155,51.39
reno,200,500,5,201.207,0.072,128480,10.2,13.980606497684251,202.172
bbr,10,500,3,10.327,0.023,172280,62.1,49.98145791327642,10.826
cubic,200,10,5,213.958,40.686,14600,1.09,13.980074338340275,202.667
